INDEX,GEOID,CSAFP,CBSAFP,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,ENTRE,IMMIG,ImmiEnter,TOTAL,IMMIGRate,EntreRate,ImmigOwnEntreRate
35,40060,NA,40060,"Richmond, VA","Richmond, VA Metro Area",M1,1,G3110,11852491242,327650578,37.46,-77.48,NA,314,NA,2513,12.50,NA,NA
36,39740,428,39740,"Reading, PA","Reading, PA Metro Area",M1,1,G3110,2218040257,24252061,40.41,-75.93,31,76,7,743,10.23,4.17,0.94
37,42540,NA,42540,"Scranton--Wilkes-Barre--Hazleton, PA","Scranton--Wilkes-Barre--Hazleton, PA Metro Area",M1,1,G3110,4523197900,77170603,41.32,-75.90,NA,85,NA,1049,8.10,NA,NA
38,41540,NA,41540,"Salisbury, MD-DE","Salisbury, MD-DE Metro Area",M1,1,G3110,5435122260,2080604052,38.40,-75.48,NA,276,NA,2337,11.81,NA,NA
39,44140,521,44140,"Springfield, MA","Springfield, MA Metro Area",M1,1,G3110,2964007223,90781029,42.25,-72.63,NA,164,NA,1717,9.55,NA,NA
40,48660,NA,48660,"Wichita Falls, TX","Wichita Falls, TX Metro Area",M1,1,G3110,6784779872,144176905,33.78,-98.50,NA,44,NA,485,9.07,NA,NA
41,48140,554,48140,"Wausau, WI","Wausau, WI Metro Area",M1,1,G3110,4001539245,81145909,44.90,-89.76,11,8,0,339,2.36,3.24,0.00
42,45300,NA,45300,"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL Metro Area",M1,1,G3110,6512932308,2115146547,28.13,-82.47,NA,1199,NA,6349,18.88,NA,NA
43,49340,148,49340,"Worcester, MA-CT","Worcester, MA-CT Metro Area",M1,1,G3110,5240884091,199162317,42.22,-71.93,NA,496,NA,2713,18.28,NA,NA
44,46520,NA,46520,"Urban Honolulu, HI","Urban Honolulu, HI Metro Area",M1,1,G3110,1555505156,4054940027,21.46,-158.20,NA,2382,NA,9531,24.99,NA,NA
45,46700,488,46700,"Vallejo-Fairfield, CA","Vallejo-Fairfield, CA Metro Area",M1,1,G3110,2128379537,218647641,38.27,-121.94,NA,173,NA,791,21.87,NA,NA
46,47300,546,47300,"Visalia-Porterville, CA","Visalia-Porterville, CA Metro Area",M1,1,G3110,12494776875,37391591,36.23,-118.78,NA,365,NA,857,42.59,NA,NA
47,49740,NA,49740,"Yuma, AZ","Yuma, AZ Metro Area",M1,1,G3110,14281191792,13171316,32.77,-113.91,NA,271,NA,672,40.33,NA,NA
48,46060,536,46060,"Tucson, AZ","Tucson, AZ Metro Area",M1,1,G3110,23794325411,5273054,32.13,-111.78,NA,306,NA,1992,15.36,NA,NA
49,48620,556,48620,"Wichita, KS","Wichita, KS Metro Area",M1,1,G3110,12981364606,92855414,37.63,-97.40,NA,309,NA,2452,12.60,NA,NA
50,47380,NA,47380,"Waco, TX","Waco, TX Metro Area",M1,1,G3110,4668694471,81529872,31.43,-97.09,23,91,4,466,19.53,4.94,0.86
51,46140,538,46140,"Tulsa, OK","Tulsa, OK Metro Area",M1,1,G3110,16237998497,493550071,36.25,-96.17,227,404,36,3345,12.08,6.79,1.08
52,45820,NA,45820,"Topeka, KS","Topeka, KS Metro Area",M1,1,G3110,8372470747,148307399,39.04,-95.80,23,61,2,808,7.55,2.85,0.25
53,46340,540,46340,"Tyler, TX","Tyler, TX Metro Area",M1,1,G3110,2386700344,73067567,32.38,-95.27,28,79,14,490,16.12,5.71,2.86
54,47940,NA,47940,"Waterloo-Cedar Falls, IA","Waterloo-Cedar Falls, IA Metro Area",M1,1,G3110,3893008619,28167535,42.54,-92.47,NA,56,NA,800,7.00,NA,NA
55,45460,NA,45460,"Terre Haute, IN","Terre Haute, IN Metro Area",M1,1,G3110,3794391201,51269526,39.39,-87.35,NA,9,NA,496,1.81,NA,NA
56,45220,533,45220,"Tallahassee, FL","Tallahassee, FL Metro Area",M1,1,G3110,6184050070,556601745,30.39,-84.28,41,33,2,765,4.31,5.36,0.26
57,45780,534,45780,"Toledo, OH","Toledo, OH Metro Area",M1,1,G3110,3531467479,673611709,41.54,-83.69,NA,13,NA,1045,1.24,NA,NA
58,47580,356,47580,"Warner Robins, GA","Warner Robins, GA Metro Area",M1,1,G3110,2006923538,19556095,32.40,-83.64,NA,16,NA,356,4.49,NA,NA
59,49660,566,49660,"Youngstown-Warren-Boardman, OH-PA","Youngstown-Warren-Boardman, OH-PA Metro Area",M1,1,G3110,4409156947,108718491,41.24,-80.56,NA,19,NA,1225,1.55,NA,NA
60,49180,268,49180,"Winston-Salem, NC","Winston-Salem, NC Metro Area",M1,1,G3110,5201851143,80932198,36.08,-80.35,48,138,9,1266,10.90,3.79,0.71
61,49020,548,49020,"Winchester, VA-WV","Winchester, VA-WV Metro Area",M1,1,G3110,2753436712,16216599,39.27,-78.47,NA,58,NA,491,11.81,NA,NA
62,47900,548,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",M1,1,G3110,16178106918,1124017724,38.82,-77.45,NA,6291,NA,27297,23.05,NA,NA
63,48700,558,48700,"Williamsport, PA","Williamsport, PA Metro Area",M1,1,G3110,3182060991,39457017,41.34,-77.06,NA,10,NA,511,1.96,NA,NA
64,49620,276,49620,"York-Hanover, PA","York-Hanover, PA Metro Area",M1,1,G3110,2341884216,16941833,39.92,-76.73,35,51,0,800,6.38,4.38,0.00
65,47260,545,47260,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",M1,1,G3110,6972345097,3214108085,36.86,-76.37,NA,288,NA,3163,9.11,NA,NA
66,48060,NA,48060,"Watertown-Fort Drum, NY","Watertown-Fort Drum, NY Metro Area",M1,1,G3110,3285858287,1524359917,44.00,-76.05,NA,30,NA,622,4.82,NA,NA
67,46540,NA,46540,"Utica-Rome, NY","Utica-Rome, NY Metro Area",M1,1,G3110,6795981620,237487618,43.33,-75.17,33,30,6,601,4.99,5.49,1.00
68,47220,428,47220,"Vineland-Bridgeton, NJ","Vineland-Bridgeton, NJ Metro Area",M1,1,G3110,1252937239,502091171,39.33,-75.12,3,58,2,233,24.89,1.29,0.86
69,45940,408,45940,"Trenton, NJ","Trenton, NJ Metro Area",M1,1,G3110,581629671,11189320,40.28,-74.70,NA,239,NA,686,34.84,NA,NA
70,36420,416,36420,"Oklahoma City, OK","Oklahoma City, OK Metro Area",M1,1,G3110,14275025160,181554378,35.43,-97.51,NA,432,NA,4462,9.68,NA,NA
71,39540,376,39540,"Racine, WI","Racine, WI Metro Area",M1,1,G3110,861267826,1190381792,42.75,-87.41,19,44,4,530,8.30,3.58,0.75
72,38900,440,38900,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA Metro Area",M1,1,G3110,17311313130,356212910,45.60,-122.48,NA,1231,NA,7900,15.58,NA,NA
73,34580,500,34580,"Mount Vernon-Anacortes, WA","Mount Vernon-Anacortes, WA Metro Area",M1,1,G3110,4483833372,489315214,48.49,-121.82,NA,84,NA,776,10.82,NA,NA
74,37100,348,37100,"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA Metro Area",M1,1,G3110,4773381391,945947791,34.36,-119.13,NA,378,NA,1565,24.15,NA,NA
75,36260,482,36260,"Ogden-Clearfield, UT","Ogden-Clearfield, UT Metro Area",M1,1,G3110,18725460886,3639530112,41.62,-113.04,NA,237,NA,2926,8.10,NA,NA
76,39140,NA,39140,"Prescott, AZ","Prescott, AZ Metro Area",M1,1,G3110,21039920080,11501575,34.63,-112.58,NA,40,NA,427,9.37,NA,NA
77,39340,482,39340,"Provo-Orem, UT","Provo-Orem, UT Metro Area",M1,1,G3110,13973702153,400847890,39.87,-112.36,NA,278,NA,2629,10.57,NA,NA
78,38060,NA,38060,"Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ Metro Area",M1,1,G3110,37723752759,86675785,33.19,-112.07,NA,1829,NA,9124,20.05,NA,NA
79,36220,372,36220,"Odessa, TX","Odessa, TX Metro Area",M1,1,G3110,2325094451,10597923,31.87,-102.54,34,95,11,498,19.08,6.83,2.21
80,36540,420,36540,"Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA Metro Area",M1,1,G3110,11266396052,148188348,41.29,-96.00,NA,423,NA,4829,8.76,NA,NA
81,38220,340,38220,"Pine Bluff, AR","Pine Bluff, AR Metro Area",M1,1,G3110,5257911386,141461901,34.08,-91.95,53,55,8,1568,3.51,3.38,0.51
82,35380,406,35380,"New Orleans-Metairie, LA","New Orleans-Metairie, LA Metro Area",M1,1,G3110,8293551780,12101115061,29.81,-89.70,NA,482,NA,5264,9.16,NA,NA
83,37900,426,37900,"Peoria, IL","Peoria, IL Metro Area",M1,1,G3110,6399733016,121934958,40.79,-89.51,NA,27,NA,732,3.69,NA,NA
84,36780,118,36780,"Oshkosh-Neenah, WI","Oshkosh-Neenah, WI Metro Area",M1,1,G3110,1125314828,373176432,44.09,-88.67,NA,4,NA,343,1.17,NA,NA
85,37860,NA,37860,"Pensacola-Ferry Pass-Brent, FL","Pensacola-Ferry Pass-Brent, FL Metro Area",M1,1,G3110,4321779039,983764582,30.66,-87.16,NA,54,NA,823,6.56,NA,NA
86,34980,400,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",M1,1,G3110,16321410263,197967875,36.09,-86.73,NA,487,NA,4953,9.83,NA,NA
87,35660,515,35660,"Niles-Benton Harbor, MI","Niles-Benton Harbor, MI Metro Area",M1,1,G3110,1470458178,2625533765,41.79,-86.74,17,24,0,406,5.91,4.19,0.00
88,34740,266,34740,"Muskegon, MI","Muskegon, MI Metro Area",M1,1,G3110,1295054226,2486391831,43.29,-86.75,17,8,0,492,1.63,3.46,0.00
89,37460,NA,37460,"Panama City, FL","Panama City, FL Metro Area",M1,1,G3110,3398182520,1205718482,30.10,-85.47,NA,43,NA,531,8.10,NA,NA
90,35840,412,35840,"North Port-Sarasota-Bradenton, FL","North Port-Sarasota-Bradenton, FL Metro Area",M1,1,G3110,3364246958,826435641,27.36,-82.32,97,209,25,1303,16.04,7.44,1.92
91,36100,NA,36100,"Ocala, FL","Ocala, FL Metro Area",M1,1,G3110,4112985503,193293405,29.20,-82.04,70,78,11,579,13.47,12.09,1.90
92,34940,162,34940,"Naples-Immokalee-Marco Island, FL","Naples-Immokalee-Marco Island, FL Metro Area",M1,1,G3110,5176959832,792901545,26.12,-81.40,89,210,29,660,31.82,13.48,4.39
93,36740,422,36740,"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL Metro Area",M1,1,G3110,9012049786,1377779539,28.43,-81.36,NA,1131,NA,4823,23.45,NA,NA
94,37340,NA,37340,"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL Metro Area",M1,1,G3110,2629960540,1402786334,28.30,-80.70,NA,64,NA,1009,6.34,NA,NA
95,38940,370,38940,"Port St. Lucie, FL","Port St. Lucie, FL Metro Area",M1,1,G3110,2888882297,843124181,27.23,-80.43,NA,180,NA,721,24.97,NA,NA
96,38300,430,38300,"Pittsburgh, PA","Pittsburgh, PA Metro Area",M1,1,G3110,13678958451,157924987,40.43,-79.83,NA,207,NA,4727,4.38,NA,NA
97,34820,396,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",M1,1,G3110,5136165448,833808418,33.97,-78.61,67,54,12,903,5.98,7.42,1.33
98,37980,428,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",M1,1,G3110,11920145588,693341961,39.90,-75.31,NA,2197,NA,15362,14.30,NA,NA
99,35620,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,1,G3110,21478408908,6689374328,40.90,-73.90,NA,12611,NA,37968,33.21,NA,NA
100,35300,408,35300,"New Haven-Milford, CT","New Haven-Milford, CT Metro Area",M1,1,G3110,1565645638,667096946,41.35,-72.90,NA,369,NA,2139,17.25,NA,NA
101,35980,278,35980,"Norwich-New London, CT","Norwich-New London, CT Metro Area",M1,1,G3110,1722641876,276619712,41.47,-72.11,NA,104,NA,647,16.07,NA,NA
102,39300,148,39300,"Providence-Warwick, RI-MA","Providence-Warwick, RI-MA Metro Area",M1,1,G3110,4110362048,1681136832,41.70,-71.29,NA,1628,NA,9634,16.90,NA,NA
103,38860,438,38860,"Portland-South Portland, ME","Portland-South Portland, ME Metro Area",M1,1,G3110,5388280775,2011849387,43.65,-70.42,NA,131,NA,3387,3.87,NA,NA
104,33460,378,33460,"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",M1,1,G3110,19781159640,1248717247,45.06,-93.35,NA,1009,NA,7731,13.05,NA,NA
105,33340,376,33340,"Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI Metro Area",M1,1,G3110,3767864626,4835860493,43.02,-87.48,NA,320,NA,3373,9.49,NA,NA
106,21660,NA,21660,"Eugene, OR","Eugene, OR Metro Area",M1,1,G3110,11792794737,436681302,43.93,-122.90,NA,126,NA,1063,11.85,NA,NA
107,32780,366,32780,"Medford, OR","Medford, OR Metro Area",M1,1,G3110,7209372699,46860852,42.41,-122.68,NA,121,NA,892,13.57,NA,NA
108,33700,382,33700,"Modesto, CA","Modesto, CA Metro Area",M1,1,G3110,3870867629,51101821,37.56,-121.00,40,282,18,1041,27.09,3.84,1.73
109,25260,546,25260,"Hanford-Corcoran, CA","Hanford-Corcoran, CA Metro Area",M1,1,G3110,3598582456,5468555,36.07,-119.82,NA,216,NA,731,29.55,NA,NA
110,23420,260,23420,"Fresno, CA","Fresno, CA Metro Area",M1,1,G3110,15433278958,135402551,36.76,-119.66,NA,545,NA,2023,26.94,NA,NA
111,31080,348,31080,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA Metro Area",M1,1,G3110,12558589615,2202092049,34.11,-118.18,NA,11244,NA,28209,39.86,NA,NA
112,22140,NA,22140,"Farmington, NM","Farmington, NM Metro Area",M1,1,G3110,14279077920,65425890,36.51,-108.32,NA,50,NA,905,5.52,NA,NA
113,10740,106,10740,"Albuquerque, NM","Albuquerque, NM Metro Area",M1,1,G3110,24041256743,37921741,35.12,-106.46,NA,936,NA,7060,13.26,NA,NA
114,21340,238,21340,"El Paso, TX","El Paso, TX Metro Area",M1,1,G3110,14461646726,7634538,31.53,-105.52,NA,466,NA,1643,28.36,NA,NA
115,22660,NA,22660,"Fort Collins, CO","Fort Collins, CO Metro Area",M1,1,G3110,6723986975,98048035,40.66,-105.49,50,14,3,594,2.36,8.42,0.51
116,19740,216,19740,"Denver-Aurora-Lakewood, CO","Denver-Aurora-Lakewood, CO Metro Area",M1,1,G3110,21615642000,147293259,39.43,-104.90,NA,867,NA,6031,14.38,NA,NA
117,24540,216,24540,"Greeley, CO","Greeley, CO Metro Area",M1,1,G3110,10326656276,76677079,40.55,-104.39,NA,67,NA,679,9.87,NA,NA
118,11100,108,11100,"Amarillo, TX","Amarillo, TX Metro Area",M1,1,G3110,13338829042,87118916,35.25,-101.91,26,49,3,530,9.25,4.91,0.57
119,31180,352,31180,"Lubbock, TX","Lubbock, TX Metro Area",M1,1,G3110,6961014817,21260554,33.47,-101.65,20,46,2,481,9.56,4.16,0.42
120,10180,NA,10180,"Abilene, TX","Abilene, TX Metro Area",M1,1,G3110,7105577372,36847363,32.45,-99.72,NA,42,NA,499,8.42,NA,NA
121,32580,365,32580,"McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX Metro Area",M1,1,G3110,4068610100,31102596,26.40,-98.18,89,432,57,1428,30.25,6.23,3.99
122,22020,244,22020,"Fargo, ND-MN","Fargo, ND-MN Metro Area",M1,1,G3110,7278667047,26517816,46.91,-96.96,NA,260,NA,3095,8.40,NA,NA
123,26420,288,26420,"Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands-Sugar Land, TX Metro Area",M1,1,G3110,21395340858,3064071034,29.75,-95.35,NA,4153,NA,12633,32.87,NA,NA
124,30980,346,30980,"Longview, TX","Longview, TX Metro Area",M1,1,G3110,4611066613,68442652,32.36,-94.82,35,50,6,719,6.95,4.87,0.83
125,22900,NA,22900,"Fort Smith, AR-OK","Fort Smith, AR-OK Metro Area",M1,1,G3110,8768726732,226572927,35.20,-94.56,45,55,0,992,5.54,4.54,0.00
126,22220,NA,22220,"Fayetteville-Springdale-Rogers, AR-MO","Fayetteville-Springdale-Rogers, AR-MO Metro Area",M1,1,G3110,8192540477,129289519,36.20,-94.12,147,456,19,2957,15.42,4.97,0.64
127,19780,218,19780,"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA Metro Area",M1,1,G3110,7468132027,73435205,41.54,-93.94,NA,204,NA,2076,9.83,NA,NA
128,30780,340,30780,"Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR Metro Area",M1,1,G3110,10578440901,295694130,34.76,-92.40,NA,316,NA,4026,7.85,NA,NA
129,33740,384,33740,"Monroe, LA","Monroe, LA Metro Area",M1,1,G3110,3852321100,128888970,32.69,-92.26,NA,23,NA,839,2.74,NA,NA
130,32820,368,32820,"Memphis, TN-MS-AR","Memphis, TN-MS-AR Metro Area",M1,1,G3110,12910527030,319234186,35.01,-89.82,NA,294,NA,3812,7.71,NA,NA
131,31540,357,31540,"Madison, WI","Madison, WI Metro Area",M1,1,G3110,8571132545,200856004,43.08,-89.60,NA,205,NA,1425,14.39,NA,NA
132,11540,118,11540,"Appleton, WI","Appleton, WI Metro Area",M1,1,G3110,2475494072,222455372,44.29,-88.37,27,22,1,586,3.75,4.61,0.17
133,33660,380,33660,"Mobile, AL","Mobile, AL Metro Area",M1,1,G3110,3184121204,1073852495,30.68,-88.20,NA,41,NA,1350,3.04,NA,NA
134,24580,267,24580,"Green Bay, WI","Green Bay, WI Metro Area",M1,1,G3110,4843697458,2534691724,44.47,-88.00,49,28,1,675,4.15,7.26,0.15
135,22520,NA,22520,"Florence-Muscle Shoals, AL","Florence-Muscle Shoals, AL Metro Area",M1,1,G3110,3264212409,214450972,34.80,-87.72,NA,19,NA,859,2.21,NA,NA
136,21780,NA,21780,"Evansville, IN-KY","Evansville, IN-KY Metro Area",M1,1,G3110,3793444395,125176173,38.02,-87.59,45,47,14,578,8.13,7.79,2.42
137,33860,NA,33860,"Montgomery, AL","Montgomery, AL Metro Area",M1,1,G3110,7027037498,189733905,32.37,-86.40,NA,87,NA,1398,6.22,NA,NA
138,21140,515,21140,"Elkhart-Goshen, IN","Elkhart-Goshen, IN Metro Area",M1,1,G3110,1199614703,12423390,41.60,-85.86,23,120,3,665,18.05,3.46,0.45
139,24340,266,24340,"Grand Rapids-Wyoming, MI","Grand Rapids-Wyoming, MI Metro Area",M1,1,G3110,6914641979,2930476628,42.98,-85.81,NA,187,NA,2076,9.01,NA,NA
140,31140,350,31140,"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN Metro Area",M1,1,G3110,9268040329,160362235,38.34,-85.67,NA,222,NA,3142,7.07,NA,NA
141,23060,258,23060,"Fort Wayne, IN","Fort Wayne, IN Metro Area",M1,1,G3110,3524916106,18669917,41.01,-85.22,NA,74,NA,1066,6.94,NA,NA
142,30460,336,30460,"Lexington-Fayette, KY","Lexington-Fayette, KY Metro Area",M1,1,G3110,3803528175,40707477,38.10,-84.44,NA,160,NA,1348,11.87,NA,NA
143,11460,220,11460,"Ann Arbor, MI","Ann Arbor, MI Metro Area",M1,1,G3110,1828433678,42623578,42.25,-83.84,49,98,0,656,14.94,7.47,0.00
144,23580,122,23580,"Gainesville, GA","Gainesville, GA Metro Area",M1,1,G3110,1017306098,94561948,34.32,-83.82,21,88,3,448,19.64,4.69,0.67
145,31420,356,31420,"Macon, GA","Macon, GA Metro Area",M1,1,G3110,4461725312,38847900,32.86,-83.71,NA,16,NA,440,3.64,NA,NA
146,22420,220,22420,"Flint, MI","Flint, MI Metro Area",M1,1,G3110,1649729501,32693085,43.02,-83.71,37,13,0,728,1.79,5.08,0.00
147,33780,220,33780,"Monroe, MI","Monroe, MI Metro Area",M1,1,G3110,1422996308,338244021,41.92,-83.49,NA,7,NA,596,1.17,NA,NA
148,19820,220,19820,"Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI Metro Area",M1,1,G3110,10072892006,897203024,42.72,-83.20,NA,1136,NA,9103,12.48,NA,NA
149,11700,120,11700,"Asheville, NC","Asheville, NC Metro Area",M1,1,G3110,5265357913,21779731,35.60,-82.68,83,88,6,890,9.89,9.33,0.67
150,23540,264,23540,"Gainesville, FL","Gainesville, FL Metro Area",M1,1,G3110,3172084250,257185419,29.68,-82.48,26,79,2,505,15.64,5.15,0.40
151,24860,273,24860,"Greenville-Anderson-Mauldin, SC","Greenville-Anderson-Mauldin, SC Metro Area",M1,1,G3110,7020898608,200411721,34.68,-82.41,NA,168,NA,2564,6.55,NA,NA
