NAME,ENTRE,IMMIG,ImmiEnter,TOTAL,GEOID,INTPTLAT,INTPTLON,IMMIGRate,EntreRate,ImmigOwnEntreRate,year,metro,state
"Asheville, NC",70,78,6,836,11700,35.5956693,-82.6816145,9.330143541,8.373205742,8.571428571,2016,Asheville,NC
"Gainesville, FL",43,98,4,595,23540,29.6779808,-82.4799713,16.47058824,7.226890756,9.302325581,2016,Gainesville,FL
"Greenville-Anderson-Mauldin, SC",134,175,3,2538,24860,34.6837085,-82.4134227,6.895193065,5.279747833,2.23880597,2016,Greenville-Anderson-Mauldin,SC
"Hickory-Lenoir-Morganton, NC",50,70,5,803,25860,35.8146669,-81.4570667,8.717310087,6.226650062,10,2016,Hickory-Lenoir-Morganton,NC
"Akron, OH",56,74,1,1427,10420,41.1466395,-81.3501104,5.185704275,3.924316748,1.785714286,2016,Akron,OH
"Deltona-Daytona Beach-Ormond Beach, FL",82,81,8,1195,19660,29.1789002,-81.1890231,6.778242678,6.861924686,9.756097561,2016,Deltona-Daytona Beach-Ormond Beach,FL
"Hilton Head Island-Bluffton-Beaufort, SC",54,32,0,464,25940,32.3867916,-80.8308775,6.896551724,11.63793103,0,2016,Hilton Head Island-Bluffton-Beaufort,SC
"Miami-Fort Lauderdale-West Palm Beach, FL",1212,5908,737,11744,33100,26.1018281,-80.4787552,50.30653951,10.32016349,60.80858086,2016,Miami-Fort Lauderdale-West Palm Beach,FL
"Erie, PA",13,23,0,536,21500,42.1179519,-80.0963858,4.291044776,2.425373134,0,2016,Erie,PA
"Florence, SC",32,42,0,410,22500,34.1537745,-79.8060793,10.24390244,7.804878049,0,2016,Florence,SC
"Morgantown, WV",45,45,0,1263,34060,39.5251551,-79.8019121,3.562945368,3.562945368,0,2016,Morgantown,WV
"Greensboro-High Point, NC",85,249,9,1624,24660,36.0252039,-79.7926333,15.33251232,5.233990148,10.58823529,2016,Greensboro-High Point,NC
"Durham-Chapel Hill, NC",89,231,16,1271,20500,35.995536,-79.0969897,18.17466562,7.002360346,17.97752809,2016,Durham-Chapel Hill,NC
"Fayetteville, NC",4,36,0,643,22180,35.0379563,-78.9822092,5.598755832,0.622083981,0,2016,Fayetteville,NC
"Goldsboro, NC",20,91,0,652,24140,35.3541896,-78.0086695,13.95705521,3.067484663,0,2016,Goldsboro,NC
"Hagerstown-Martinsburg, MD-WV",62,57,4,1385,25180,39.5421519,-77.8997669,4.115523466,4.476534296,6.451612903,2016,Hagerstown-Martinsburg,MD-WV
"Greenville, NC",25,37,2,537,24780,35.592965,-77.373138,6.890130354,4.655493482,8,2016,Greenville,NC
"Harrisburg-Carlisle, PA",33,79,4,1161,25420,40.3359242,-77.0504748,6.804478898,2.842377261,12.12121212,2016,Harrisburg-Carlisle,PA
"Dover, DE",124,161,22,2037,20100,39.0970884,-75.5029819,7.903780069,6.087383407,17.74193548,2016,Dover,DE
"Allentown-Bethlehem-Easton, PA-NJ",75,183,6,1606,10900,40.7893392,-75.398158,11.39476961,4.669987547,8,2016,Allentown-Bethlehem-Easton,PA-NJ
"East Stroudsburg, PA",58,40,4,583,20700,41.0562401,-75.3290651,6.861063465,9.948542024,6.896551724,2016,East Stroudsburg,PA
"Albany-Schenectady-Troy, NY",66,105,4,1665,10580,42.7879202,-73.9423479,6.306306306,3.963963964,6.060606061,2016,Albany-Schenectady-Troy,NY
"Glens Falls, NY",29,4,0,496,24020,43.4404503,-73.6367573,0.806451613,5.846774194,0,2016,Glens Falls,NY
"Hartford-West Hartford-East Hartford, CT",200,446,36,3111,25540,41.718601,-72.5739417,14.33622629,6.428801029,18,2016,Hartford-West Hartford-East Hartford,CT
"Manchester-Nashua, NH",297,423,27,3921,31700,42.9116429,-71.7231012,10.78806427,7.574598317,9.090909091,2016,Manchester-Nashua,NH
"Augusta-Richmond County, GA-SC",60,31,4,1161,12260,33.4603713,-81.9828327,2.670111972,5.167958656,6.666666667,2016,Augusta-Richmond County,GA-SC
"Cape Coral-Fort Myers, FL",57,237,8,1112,15980,26.5516337,-81.8925086,21.31294964,5.125899281,14.03508772,2016,Cape Coral-Fort Myers,FL
"Canton-Massillon, OH",46,14,5,978,15940,40.7110722,-81.2614743,1.431492843,4.703476483,10.86956522,2016,Canton-Massillon,OH
"Columbia, SC",127,177,12,2543,17900,34.084175,-81.0405973,6.96028313,4.994101455,9.448818898,2016,Columbia,SC
"Chambersburg-Waynesboro, PA",24,37,0,555,16540,39.9266851,-77.7244974,6.666666667,4.324324324,0,2016,Chambersburg-Waynesboro,PA
"Binghamton, NY",67,25,4,1016,13780,42.1639276,-76.0229431,2.460629921,6.594488189,5.970149254,2016,Binghamton,NY
"Kahului-Wailuku-Lahaina, HI",148,351,16,1437,27980,20.8559308,-156.6015502,24.42588727,10.29923452,10.81081081,2016,Kahului-Wailuku-Lahaina,HI
"Chico, CA",31,51,0,653,17020,39.6659588,-121.6019188,7.810107198,4.747320061,0,2016,Chico,CA
"Bend-Redmond, OR",147,21,1,1060,13460,43.9151181,-121.2255751,1.981132075,13.86792453,0.680272109,2016,Bend-Redmond,OR
"Kennewick-Richland, WA",35,190,16,947,28420,46.363914,-119.2540809,20.06335797,3.695881732,45.71428571,2016,Kennewick-Richland,WA
"Bakersfield, CA",65,477,21,1517,12540,35.3466288,-118.7295064,31.44363876,4.284772577,32.30769231,2016,Bakersfield,CA
"Coeur d'Alene, ID",149,31,0,1496,17660,47.6771129,-116.6949184,2.072192513,9.959893048,0,2016,Coeur d'Alene,ID
"Boise City, ID",490,442,59,5855,14260,43.0066485,-116.1419089,7.54910333,8.368915457,12.04081633,2016,Boise City,ID
"Las Vegas-Henderson-Paradise, NV",408,2452,123,8471,29820,36.2142575,-115.013812,28.94581513,4.816432535,30.14705882,2016,Las Vegas-Henderson-Paradise,NV
"Idaho Falls, ID",72,79,8,1000,26820,43.6205362,-112.4208422,7.9,7.2,11.11111111,2016,Idaho Falls,ID
"Billings, MT",194,48,0,2583,13740,45.7754535,-108.7278711,1.858304297,7.510646535,0,2016,Billings,MT
"Las Cruces, NM",83,466,29,1657,29740,32.3509119,-106.8321821,28.12311406,5.009052505,34.93975904,2016,Las Cruces,NM
"Boulder, CO",67,103,7,660,14500,40.0949699,-105.3976911,15.60606061,10.15151515,10.44776119,2016,Boulder,CO
"Colorado Springs, CO",130,100,13,1321,17820,38.8454651,-104.6385633,7.57002271,9.841029523,10,2016,Colorado Springs,CO
"Laredo, TX",51,144,23,379,29700,27.7607987,-99.3407518,37.99472296,13.45646438,45.09803922,2016,Laredo,TX
"Killeen-Temple, TX",15,130,1,651,28660,31.2027301,-97.7896384,19.96927803,2.304147465,6.666666667,2016,Killeen-Temple,TX
"Austin-Round Rock, TX",322,1067,64,4500,12420,30.2395128,-97.6912697,23.71111111,7.155555556,19.8757764,2016,Austin-Round Rock,TX
"Brownsville-Harlingen, TX",45,159,14,558,15180,26.1029227,-97.4789584,28.49462366,8.064516129,31.11111111,2016,Brownsville-Harlingen,TX
"Corpus Christi, TX",33,87,9,862,18580,27.8989315,-97.4012355,10.09280742,3.828306265,27.27272727,2016,Corpus Christi,TX
"Dallas-Fort Worth-Arlington, TX",839,3691,254,14084,19100,32.8225581,-97.0251332,26.20704345,5.957114456,30.27413588,2016,Dallas-Fort Worth-Arlington,TX
"College Station-Bryan, TX",17,63,4,401,17780,30.7543917,-96.4885368,15.71072319,4.239401496,23.52941176,2016,College Station-Bryan,TX
"Kansas City, MO-KS",340,499,25,5943,28140,38.9318494,-94.4438241,8.396432778,5.721016322,7.352941176,2016,Kansas City,MO-KS
"Beaumont-Port Arthur, TX",36,75,12,809,13140,30.3478326,-94.1203707,9.270704574,4.449938195,33.33333333,2016,Beaumont-Port Arthur,TX
"Lake Charles, LA",36,59,3,1136,29340,29.9787547,-93.2532434,5.193661972,3.169014085,8.333333333,2016,Lake Charles,LA
"Lafayette, LA",194,154,20,2511,29180,29.9577733,-92.0493498,6.133014735,7.726005575,10.30927835,2016,Lafayette,LA
"Iowa City, IA",43,85,0,591,26980,41.5178058,-91.6479303,14.38240271,7.275803723,0,2016,Iowa City,IA
"Cedar Rapids, IA",21,17,0,649,16300,42.0856026,-91.6304799,2.619414484,3.235747304,0,2016,Cedar Rapids,IA
"Baton Rouge, LA",237,249,23,3881,12940,30.5708895,-91.134533,6.415872198,6.106673538,9.70464135,2016,Baton Rouge,LA
"Davenport-Moline-Rock Island, IA-IL",33,52,0,903,19340,41.3916799,-90.460076,5.758582503,3.65448505,0,2016,Davenport-Moline-Rock Island,IA-IL
"Jackson, MS",172,194,16,3256,27140,32.3160014,-90.2208402,5.958230958,5.282555283,9.302325581,2016,Jackson,MS
"Carbondale-Marion, IL",24,26,0,321,16060,37.7573308,-89.193181,8.099688474,7.476635514,0,2016,Carbondale-Marion,IL
"Janesville-Beloit, WI",16,49,0,398,27500,42.6698802,-89.0752844,12.31155779,4.020100503,0,2016,Janesville-Beloit,WI
"Bloomington, IL",21,33,0,541,14010,40.4055934,-88.8613074,6.099815157,3.881700555,0,2016,Bloomington,IL
"Champaign-Urbana, IL",31,83,6,524,16580,40.2344885,-88.2986226,15.83969466,5.916030534,19.35483871,2016,Champaign-Urbana,IL
"Chicago-Naperville-Elgin, IL-IN-WI",1150,4370,314,20067,16980,41.8235214,-87.8282967,21.77704689,5.730801814,27.30434783,2016,Chicago-Naperville-Elgin,IL-IN-WI
"Daphne-Fairhope-Foley, AL",76,41,3,1108,19300,30.6592183,-87.7460666,3.700361011,6.859205776,3.947368421,2016,Daphne-Fairhope-Foley,AL
"Clarksville, TN-KY",38,78,10,1105,17300,36.7492073,-87.5582833,7.058823529,3.438914027,26.31578947,2016,Clarksville,TN-KY
"Lafayette-West Lafayette, IN",17,41,0,418,29200,40.5147241,-86.9304622,9.80861244,4.066985646,0,2016,Lafayette-West Lafayette,IN
"Birmingham-Hoover, AL",180,206,20,4212,13820,33.4623718,-86.8143378,4.890788224,4.273504274,11.11111111,2016,Birmingham-Hoover,AL
"Huntsville, AL",84,114,2,1761,26620,34.7832617,-86.7348706,6.473594549,4.770017036,2.380952381,2016,Huntsville,AL
"Bloomington, IN",23,9,4,319,14020,39.2417362,-86.6717544,2.821316614,7.210031348,17.39130435,2016,Bloomington,IN
"Bowling Green, KY",15,40,0,437,14540,37.0468214,-86.3970677,9.153318078,3.432494279,0,2016,Bowling Green,KY
"Indianapolis-Carmel-Anderson, IN",244,378,22,4723,26900,39.7449323,-86.2045408,8.003387677,5.166207919,9.016393443,2016,Indianapolis-Carmel-Anderson,IN
"Kalamazoo-Portage, MI",33,62,0,686,28020,42.2688708,-86.0373725,9.037900875,4.810495627,0,2016,Kalamazoo-Portage,MI
"Chattanooga, TN-GA",95,101,13,1273,16860,35.0493612,-85.3611582,7.93401414,7.462686567,13.68421053,2016,Chattanooga,TN-GA
"Auburn-Opelika, AL",49,89,4,1015,12220,32.6040644,-85.3530477,8.768472906,4.827586207,8.163265306,2016,Auburn-Opelika,AL
"Battle Creek, MI",16,19,0,573,12980,42.2429896,-85.0123853,3.315881326,2.792321117,0,2016,Battle Creek,MI
"Columbus, GA-AL",14,26,3,473,17980,32.4368358,-84.9008787,5.496828753,2.959830867,21.42857143,2016,Columbus,GA-AL
"Cleveland, TN",13,8,0,497,17420,35.1381292,-84.65507,1.609657948,2.615694165,0,2016,Cleveland,TN
"Lansing-East Lansing, MI",63,56,0,1033,29620,42.7136586,-84.6053717,5.421103582,6.09874153,0,2016,Lansing-East Lansing,MI
"Cincinnati, OH-KY-IN",224,324,14,4542,17140,39.0694579,-84.4271533,7.1334214,4.931748129,6.25,2016,Cincinnati,OH-KY-IN
"Jackson, MI",42,12,0,585,27100,42.2484738,-84.4208679,2.051282051,7.179487179,0,2016,Jackson,MI
"Atlanta-Sandy Springs-Roswell, GA",792,2302,182,11532,12060,33.693728,-84.3999113,19.9618453,6.867845994,22.97979798,2016,Atlanta-Sandy Springs-Roswell,GA
"Dayton, OH",44,81,0,1462,19380,39.8288538,-84.1418129,5.540355677,3.009575923,0,2016,Dayton,OH
"Knoxville, TN",125,93,6,2128,28940,36.0444622,-84.1361137,4.370300752,5.87406015,4.8,2016,Knoxville,TN
"Athens-Clarke County, GA",17,36,3,390,12020,33.943984,-83.2138965,9.230769231,4.358974359,17.64705882,2016,Athens-Clarke County,GA
"Columbus, OH",213,397,27,4069,18140,39.9685617,-82.8359105,9.756696977,5.234701401,12.67605634,2016,Columbus,OH
"Kingsport-Bristol-Bristol, TN-VA",40,20,2,778,28700,36.6041611,-82.4401446,2.570694087,5.141388175,5,2016,Kingsport-Bristol-Bristol,TN-VA
"Huntington-Ashland, WV-KY-OH",98,33,6,2227,26580,38.3736912,-82.3851927,1.4818141,4.400538841,6.12244898,2016,Huntington-Ashland,WV-KY-OH
"Johnson City, TN",50,26,8,639,27740,36.2506085,-82.3310257,4.06885759,7.824726135,16,2016,Johnson City,TN
"Jacksonville, FL",136,296,13,3016,27260,30.2371049,-81.7552353,9.814323607,4.50928382,9.558823529,2016,Jacksonville,FL
"Lakeland-Winter Haven, FL",61,171,20,1086,29460,27.9531147,-81.6927831,15.74585635,5.61694291,32.78688525,2016,Lakeland-Winter Haven,FL
"Cleveland-Elyria, OH",168,231,2,3861,17460,41.760392,-81.7242168,5.982905983,4.351204351,1.19047619,2016,Cleveland-Elyria,OH
"Charleston, WV",100,43,0,2074,16620,38.2832126,-81.4925567,2.073288332,4.821600771,0,2016,Charleston,WV
"Charlotte-Concord-Gastonia, NC-SC",309,722,61,5604,16740,35.187295,-80.8674907,12.88365453,5.51391863,19.74110032,2016,Charlotte-Concord-Gastonia,NC-SC
"Blacksburg-Christiansburg-Radford, VA",12,18,0,291,13980,37.1213643,-80.5315166,6.18556701,4.12371134,0,2016,Blacksburg-Christiansburg-Radford,VA
"Charleston-North Charleston, SC",131,184,11,2134,16700,33.0058308,-80.006109,8.62230553,6.138706654,8.396946565,2016,Charleston-North Charleston,SC
"Burlington, NC",43,82,6,657,15500,36.0439535,-79.4005733,12.48097412,6.544901065,13.95348837,2016,Burlington,NC
"Buffalo-Cheektowaga-Niagara Falls, NY",83,190,4,2187,15380,43.0443711,-78.7773351,8.687700046,3.795153178,4.819277108,2016,Buffalo-Cheektowaga-Niagara Falls,NY
"Johnstown, PA",12,0,0,333,27780,40.5103124,-78.7104629,0,3.603603604,0,2016,Johnstown,PA
"Charlottesville, VA",49,24,0,680,16820,37.8545896,-78.578282,3.529411765,7.205882353,0,2016,Charlottesville,VA
"Jacksonville, NC",17,35,3,497,27340,34.7631087,-77.4994691,7.042253521,3.420523139,17.64705882,2016,Jacksonville,NC
"Baltimore-Columbia-Towson, MD",285,759,70,5200,12580,39.304361,-76.5495009,14.59615385,5.480769231,24.56140351,2016,Baltimore-Columbia-Towson,MD
"California-Lexington Park, MD",14,12,0,522,15680,38.2202894,-76.5303837,2.298850575,2.681992337,0,2016,California-Lexington Park,MD
"Lancaster, PA",90,59,0,1110,29540,40.0419921,-76.250198,5.315315315,8.108108108,0,2016,Lancaster,PA
"Atlantic City-Hammonton, NJ",44,87,7,589,12100,39.469354,-74.6337584,14.77079796,7.470288625,15.90909091,2016,Atlantic City-Hammonton,NJ
"Bridgeport-Stamford-Norwalk, CT",261,771,79,2460,14860,41.2274128,-73.3670614,31.34146341,10.6097561,30.26819923,2016,Bridgeport-Stamford-Norwalk,CT
"Burlington-South Burlington, VT",375,315,23,4435,15540,44.6891168,-73.0411707,7.10259301,8.455467869,6.133333333,2016,Burlington-South Burlington,VT
"Boston-Cambridge-Newton, MA-NH",991,3333,209,16844,14460,42.517606,-71.0219925,19.78746141,5.883400617,21.08980827,2016,Boston-Cambridge-Newton,MA-NH
"Barnstable Town, MA",37,17,4,315,12700,41.7988188,-70.2110827,5.396825397,11.74603175,10.81081081,2016,Barnstable Town,MA
"Lewiston-Auburn, ME",69,23,0,677,30340,44.1676811,-70.2074347,3.397341211,10.19202363,0,2016,Lewiston-Auburn,ME
"Bangor, ME",45,23,0,820,12620,45.4092789,-68.6665979,2.804878049,5.487804878,0,2016,Bangor,ME
"Redding, CA",44,20,3,711,39820,40.7605142,-122.0435556,2.812939522,6.188466948,6.818181818,2015,Redding,CA
"Reno, NV",6,75,0,514,39900,40.5007953,-119.7311608,14.59143969,1.167315175,0,2015,Reno,NV
"Riverside-San Bernardino-Ontario, CA",458,2502,163,8544,40140,34.5375344,-116.1309212,29.28370787,5.360486891,35.58951965,2015,Riverside-San Bernardino-Ontario,CA
"Rockford, IL",54,84,6,661,40420,42.331183,-89.0429139,12.70801815,8.169440242,11.11111111,2015,Rockford,IL
"Spartanburg, SC",41,85,13,788,43900,34.8346199,-81.8424008,10.78680203,5.203045685,31.70731707,2015,Spartanburg,SC
"Syracuse, NY",66,112,6,1394,45060,43.0065163,-76.1961336,8.034433286,4.734576758,9.090909091,2015,Syracuse,NY
"Santa Rosa, CA",119,174,21,794,42220,38.5251824,-122.9261095,21.91435768,14.98740554,17.64705882,2015,Santa Rosa,CA
"Salem, OR",66,247,2,1275,41420,44.9033845,-122.9017571,19.37254902,5.176470588,3.03030303,2015,Salem,OR
"San Francisco-Oakland-Hayward, CA",806,3463,306,9812,41860,37.7737185,-122.2744317,35.29351814,8.214431309,37.96526055,2015,San Francisco-Oakland-Hayward,CA
"Santa Cruz-Watsonville, CA",54,114,8,568,42100,37.0124883,-122.007205,20.07042254,9.507042254,14.81481481,2015,Santa Cruz-Watsonville,CA
"Seattle-Tacoma-Bellevue, WA",580,1810,138,8973,42660,47.5530503,-121.8831653,20.17162599,6.463835952,23.79310345,2015,Seattle-Tacoma-Bellevue,WA
"San Jose-Sunnyvale-Santa Clara, CA",257,1999,114,4283,41940,36.9084718,-121.3713721,46.67289283,6.000466962,44.35797665,2015,San Jose-Sunnyvale-Santa Clara,CA
"Salinas, CA",37,269,0,852,41500,36.240107,-121.3155723,31.57276995,4.342723005,0,2015,Salinas,CA
"Stockton-Lodi, CA",62,459,32,1618,44700,37.9349815,-121.272244,28.368356,3.831891224,51.61290323,2015,Stockton-Lodi,CA
"Sacramento--Roseville--Arden-Arcade, CA",300,1136,81,4775,40900,38.7896779,-121.0057504,23.79057592,6.282722513,27,2015,Sacramento--Roseville--Arden-Arcade,CA
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",31,63,0,397,42020,35.3852263,-120.4475418,15.86901763,7.808564232,0,2015,San Luis Obispo-Paso Robles-Arroyo Grande,CA
"Santa Maria-Santa Barbara, CA",74,119,0,707,42200,34.5370572,-120.0399729,16.83168317,10.46676096,0,2015,Santa Maria-Santa Barbara,CA
"Spokane-Spokane Valley, WA",85,59,8,1382,44060,48.1890407,-117.5732186,4.269175109,6.150506512,9.411764706,2015,Spokane-Spokane Valley,WA
"San Diego-Carlsbad, CA",525,1810,147,6983,41740,33.0236041,-116.7761174,25.92009165,7.518258628,28,2015,San Diego-Carlsbad,CA
"St. George, UT",73,50,1,488,41100,37.2625308,-113.4878003,10.24590164,14.95901639,1.369863014,2015,St. George,UT
"Salt Lake City, UT",302,863,46,5401,41620,40.5727871,-112.9531375,15.9785225,5.591557119,15.23178808,2015,Salt Lake City,UT
"Santa Fe, NM",120,215,20,974,42140,35.5143241,-105.9657706,22.07392197,12.32032854,16.66666667,2015,Santa Fe,NM
"San Antonio-New Braunfels, TX",257,681,66,4224,41700,29.4330599,-98.6069734,16.12215909,6.084280303,25.68093385,2015,San Antonio-New Braunfels,TX
"Sioux Falls, SD",315,237,8,3797,43620,43.4954205,-96.9953387,6.241769818,8.296023176,2.53968254,2015,Sioux Falls,SD
"Sherman-Denison, TX",41,36,3,510,43300,33.6245321,-96.6757378,7.058823529,8.039215686,7.317073171,2015,Sherman-Denison,TX
"St. Cloud, MN",17,46,3,165,41060,45.5930312,-94.4883635,27.87878788,10.3030303,17.64705882,2015,St. Cloud,MN
"Shreveport-Bossier City, LA",96,67,1,1896,43340,32.4906379,-93.6711914,3.533755274,5.063291139,1.041666667,2015,Shreveport-Bossier City,LA
"Springfield, MO",81,5,0,991,44180,37.3608699,-93.1802617,0.504540868,8.173562059,0,2015,Springfield,MO
"St. Louis, MO-IL",379,345,15,6155,41180,38.7404035,-90.3459564,5.605199025,6.157595451,3.957783641,2015,St. Louis,MO-IL
"Springfield, IL",18,23,4,695,44100,39.828565,-89.6962052,3.309352518,2.589928058,22.22222222,2015,Springfield,IL
"South Bend-Mishawaka, IN-MI",20,33,3,694,43780,41.7749808,-86.1230143,4.755043228,2.88184438,15,2015,South Bend-Mishawaka,IN-MI
"Saginaw, MI",18,0,0,322,40980,43.3282667,-84.05541,0,5.590062112,0,2015,Saginaw,MI
"Savannah, GA",50,88,1,1028,42340,32.1091449,-81.2730939,8.560311284,4.86381323,2,2015,Savannah,GA
"Roanoke, VA",21,12,0,481,40220,37.2862262,-79.9469346,2.494802495,4.365904366,0,2015,Roanoke,VA
"Raleigh, NC",186,560,56,2993,39580,35.7567464,-78.4604412,18.71032409,6.214500501,30.10752688,2015,Raleigh,NC
"Rochester, NY",143,182,7,2315,40380,43.148038,-77.5232575,7.861771058,6.177105832,4.895104895,2015,Rochester,NY
"Richmond, VA",132,197,15,2861,40060,37.4634618,-77.4751772,6.885704299,4.613771409,11.36363636,2015,Richmond,VA
"Reading, PA",58,84,13,914,39740,40.4139565,-75.9268598,9.190371991,6.345733042,22.4137931,2015,Reading,PA
"Scranton--Wilkes-Barre--Hazleton, PA",35,112,2,1217,42540,41.3228806,-75.8981877,9.202958094,2.875924404,5.714285714,2015,Scranton--Wilkes-Barre--Hazleton,PA
"Salisbury, MD-DE",136,199,9,1922,41540,38.3995211,-75.4782615,10.35379813,7.075962539,6.617647059,2015,Salisbury,MD-DE
"Springfield, MA",60,131,9,1152,44140,42.2477995,-72.6320465,11.37152778,5.208333333,15,2015,Springfield,MA
"Wichita Falls, TX",12,18,0,424,48660,33.7761441,-98.5019073,4.245283019,2.830188679,0,2015,Wichita Falls,TX
"Wausau, WI",35,26,4,499,48140,44.8980363,-89.757823,5.210420842,7.014028056,11.42857143,2015,Wausau,WI
"Tampa-St. Petersburg-Clearwater, FL",350,967,88,6051,45300,28.1259071,-82.4652858,15.98082961,5.784167906,25.14285714,2015,Tampa-St. Petersburg-Clearwater,FL
"Worcester, MA-CT",88,238,18,1885,49340,42.2173112,-71.9255354,12.62599469,4.668435013,20.45454545,2015,Worcester,MA-CT
"Urban Honolulu, HI",414,1648,117,7708,46520,21.4613654,-158.201974,21.38038402,5.371043072,28.26086957,2015,Urban Honolulu,HI
"Vallejo-Fairfield, CA",34,184,4,832,46700,38.2672255,-121.939594,22.11538462,4.086538462,11.76470588,2015,Vallejo-Fairfield,CA
"Visalia-Porterville, CA",20,301,5,878,47300,36.2288241,-118.781061,34.28246014,2.277904328,25,2015,Visalia-Porterville,CA
"Yuma, AZ",38,283,19,727,49740,32.7739424,-113.910905,38.92709766,5.22696011,50,2015,Yuma,AZ
"Tucson, AZ",140,410,39,2440,46060,32.1285226,-111.7830267,16.80327869,5.737704918,27.85714286,2015,Tucson,AZ
"Wichita, KS",128,251,6,2495,48620,37.6298308,-97.3988319,10.06012024,5.130260521,4.6875,2015,Wichita,KS
"Victoria, TX",17,10,0,127,47020,28.7314546,-97.1969934,7.874015748,13.38582677,0,2015,Victoria,TX
"Waco, TX",29,73,4,534,47380,31.4272264,-97.0934727,13.67041199,5.43071161,13.79310345,2015,Waco,TX
"Tulsa, OK",225,287,12,3236,46140,36.2541502,-96.1749783,8.868974042,6.95302843,5.333333333,2015,Tulsa,OK
"Topeka, KS",34,63,1,683,45820,39.0413888,-95.8026393,9.224011713,4.978038067,2.941176471,2015,Topeka,KS
"Tyler, TX",45,40,8,518,46340,32.3751061,-95.2687428,7.722007722,8.687258687,17.77777778,2015,Tyler,TX
"Waterloo-Cedar Falls, IA",118,84,24,1020,47940,42.5367962,-92.471608,8.235294118,11.56862745,20.33898305,2015,Waterloo-Cedar Falls,IA
"Terre Haute, IN",36,9,0,549,45460,39.392389,-87.3470958,1.639344262,6.557377049,0,2015,Terre Haute,IN
"Tallahassee, FL",30,24,0,678,45220,30.3864276,-84.2804098,3.539823009,4.424778761,0,2015,Tallahassee,FL
"Toledo, OH",49,59,4,1240,45780,41.5439974,-83.6908887,4.758064516,3.951612903,8.163265306,2015,Toledo,OH
"Warner Robins, GA",14,37,5,458,47580,32.4015944,-83.6350953,8.07860262,3.056768559,35.71428571,2015,Warner Robins,GA
"Valdosta, GA",9,2,0,102,46660,30.8274985,-83.2421316,1.960784314,8.823529412,0,2015,Valdosta,GA
"Youngstown-Warren-Boardman, OH-PA",79,8,8,1217,49660,41.2363015,-80.5618679,0.65735415,6.491372227,10.12658228,2015,Youngstown-Warren-Boardman,OH-PA
"Winston-Salem, NC",66,129,6,1135,49180,36.0788515,-80.3450642,11.36563877,5.814977974,9.090909091,2015,Winston-Salem,NC
"Winchester, VA-WV",52,32,4,417,49020,39.2729744,-78.4718276,7.673860911,12.47002398,7.692307692,2015,Winchester,VA-WV
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1529,6751,438,28604,47900,38.8169283,-77.4482275,23.60159418,5.345406237,28.64617397,2015,Washington-Arlington-Alexandria,DC-VA-MD-WV
"Williamsport, PA",29,5,0,582,48700,41.3436196,-77.0552254,0.859106529,4.982817869,0,2015,Williamsport,PA
"York-Hanover, PA",26,60,0,687,49620,39.9217514,-76.7288887,8.733624454,3.784570597,0,2015,York-Hanover,PA
"Virginia Beach-Norfolk-Newport News, VA-NC",129,187,19,3476,47260,36.8560812,-76.3737908,5.379746835,3.711162255,14.72868217,2015,Virginia Beach-Norfolk-Newport News,VA-NC
"Watertown-Fort Drum, NY",32,12,0,579,48060,43.9965164,-76.0529023,2.07253886,5.526770294,0,2015,Watertown-Fort Drum,NY
"Utica-Rome, NY",35,12,0,482,46540,43.3322887,-75.173169,2.489626556,7.261410788,0,2015,Utica-Rome,NY
"Vineland-Bridgeton, NJ",13,8,0,260,47220,39.3283874,-75.1216435,3.076923077,5,0,2015,Vineland-Bridgeton,NJ
"Trenton, NJ",45,295,16,814,45940,40.2825027,-74.703724,36.24078624,5.528255528,35.55555556,2015,Trenton,NJ
"Oklahoma City, OK",257,548,34,4697,36420,35.4309676,-97.5069659,11.6670215,5.471577603,13.22957198,2015,Oklahoma City,OK
"Racine, WI",56,20,0,677,39540,42.7540747,-87.414676,2.954209749,8.271787297,0,2015,Racine,WI
"Portland-Vancouver-Hillsboro, OR-WA",653,1339,89,7929,38900,45.6006204,-122.4843457,16.88737546,8.235590869,13.62940276,2015,Portland-Vancouver-Hillsboro,OR-WA
"Mount Vernon-Anacortes, WA",72,109,9,708,34580,48.4932917,-121.8157703,15.39548023,10.16949153,12.5,2015,Mount Vernon-Anacortes,WA
"Oxnard-Thousand Oaks-Ventura, CA",133,453,17,1647,37100,34.3587415,-119.1331432,27.50455373,8.075288403,12.78195489,2015,Oxnard-Thousand Oaks-Ventura,CA
"Ogden-Clearfield, UT",139,193,7,2960,36260,41.6218833,-113.0436525,6.52027027,4.695945946,5.035971223,2015,Ogden-Clearfield,UT
"Prescott, AZ",43,43,3,476,39140,34.6312117,-112.5773855,9.033613445,9.033613445,6.976744186,2015,Prescott,AZ
"Provo-Orem, UT",153,238,7,2314,39340,39.872067,-112.3590592,10.2852204,6.611927398,4.575163399,2015,Provo-Orem,UT
"Phoenix-Mesa-Scottsdale, AZ",592,1834,176,9472,38060,33.1857653,-112.0678624,19.36233108,6.25,29.72972973,2015,Phoenix-Mesa-Scottsdale,AZ
"Odessa, TX",63,113,12,597,36220,31.8653008,-102.5425068,18.9279732,10.55276382,19.04761905,2015,Odessa,TX
